Tipo,Descripcion_alimento,Type_EN,Food_description_EN,Nombre_cientifico,Porcion_comestible_pct,Energia_kJ,Energia_kcal,Humedad_g,Cenizas_g,Extracto_etereo_g,AGS_g,AGMI_g,AGPI_g,Colesterol_mg,Proteina_bruta_g,Hidratos_carbono_g,Azucares_g,Fibra_bruta_g,Fibra_DT_g,Fibra_D_Insol_g,Ca_mg,P_mg,Fe_mg,Na_mg,K_mg,Mg_mg,Cu_mg,Zn_mg,Mn_mg,Se_mg,Li_mg,VitA_UI,VitA_ug_RAE,Carotenos_mg,Bcarotenos_mg,VitB1_mg,VitB2_mg,Niacina_mg,Ac_ascorbico_mg,VitB6_mg,VitB12_ug,Acido_folico_ug,Folato_ug_DFE,VitD_ug
SEMILLAS DE CEREALES Y DERIVADOS,"Arroz, integral cro",CEREALS AND BY-PRODUCTS,Rice bron ra,Oryza sativa L.,1.00,1515.00,362.00,12.37,1.27,2.68,1.02,0.97,0.96,0.00,7.50,76.17,*,1.00,3.40,0.92,33.00,264.00,1.80,4.00,268.00,143.00,0.23,1.79,2.10,0.01,*,0.00,0.00,*,*,0.41,0.04,4.31,0.00,0.51,0.00,0.00,20.00,0.00
SEMILLAS DE CEREALES Y DERIVADOS,"Arroz, jarabe de horchata",CEREALS AND BY-PRODUCTS,"Rice, horchata syrup",,1.00,1335.00,319.00,23.10,0.20,0.30,*,*,*,*,1.80,74.40,54.30,0.20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,"Arroz, salvado aiao roteico",CEREALS AND BY-PRODUCTS,"Rice, bran rotein ioate",Oryza sativa L.,1.00,1256.00,300.00,6.80,19.40,0.20,4.17,7.55,7.46,0.00,3.50,69.60,0.90,0.50,21.00,*,57.00,1677.00,18.54,5.00,1485.00,781.00,*,6.04,*,*,*,0.00,0.00,*,*,2.75,0.28,34.00,0.00,4.07,0.00,*,63.00,0.00
SEMILLAS DE CEREALES Y DERIVADOS,"Avena, barra de granola",CEREALS AND BY-PRODUCTS,"Oats, granola bar",,1.00,1807.00,432.00,2.20,1.80,11.10,*,*,*,*,12.00,70.90,*,2.00,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,"Avena, harina",CEREALS AND BY-PRODUCTS,Oat or,Avena sativa,1.00,1690.34,404.00,8.55,1.97,9.12,1.61,2.87,3.33,0.00,14.66,65.70,0.80,1.30,6.50,*,55.00,452.00,4.00,19.00,371.00,144.00,0.44,3.20,4.02,0.03,*,0.00,0.00,0.00,*,0.69,0.13,1.47,0.00,0.13,0.00,11.00,32.00,0.00
SEMILLAS DE CEREALES Y DERIVADOS,"Avena, hojuela",CEREALS AND BY-PRODUCTS,Oat ae,Avena sativa L.,1.00,1586.00,379.00,6.30,1.50,6.52,1.11,1.98,2.30,0.00,16.20,67.70,0.99,1.20,10.10,5.80,61.00,278.00,3.35,6.00,362.00,138.00,0.39,3.64,3.63,0.03,*,0.00,0.00,*,0.00,0.53,0.11,0.82,0.00,0.10,0.00,0.00,32.00,0.00
SEMILLAS DE CEREALES Y DERIVADOS,"Cebada, grano",CEREALS AND BY-PRODUCTS,"Barley, grain",orem are L,,1472.77,352.00,10.09,2.29,1.16,0.24,0.15,0.56,0.00,9.91,77.72,0.80,6.50,15.80,8.10,29.00,221.00,2.50,9.00,280.00,79.00,0.12,2.13,1.50,0.01,*,22.00,1.00,*,0.00,0.19,0.11,4.60,0.00,0.26,0.00,0.00,23.00,0.00
SEMILLAS DE CEREALES Y DERIVADOS,"Cebada, harina",CEREALS AND BY-PRODUCTS,are or,orem are L,1.00,1443.48,345.00,12.11,*,1.60,0.34,0.21,0.77,0.00,10.50,74.52,0.80,*,10.10,*,32.00,296.00,2.68,4.00,309.00,96.00,*,2.00,*,*,*,0.00,0.00,*,*,0.37,0.11,6.27,0.00,0.40,0.00,*,8.00,0.00
SEMILLAS DE CEREALES Y DERIVADOS,"Centeno, grano",CEREALS AND BY-PRODUCTS,"Rye, grain",Secale cereale,,1414.19,338.00,10.60,2.29,1.63,0.20,0.21,0.77,0.00,10.34,75.86,0.98,*,15.10,8.45,24.00,332.00,2.63,2.00,510.00,110.00,0.39,2.65,2.90,0.00,*,11.00,1.00,*,*,0.32,0.25,4.27,0.00,0.29,0.00,0.00,38.00,0.00
SEMILLAS DE CEREALES Y DERIVADOS,"Centeno, pan de caja, centeno y especias",CEREALS AND BY-PRODUCTS,Re it spices bread,,1.00,1085.30,255.50,37.50,0.90,2.30,0.18,1.31,0.80,0.00,9.00,49.70,2.00,0.60,5.80,3.57,40.07,125.00,5.59,32.24,256.55,35.86,0.00,1.91,0.82,0.00,*,7.00,0.00,*,0.00,0.43,0.34,3.81,0.40,0.08,0.00,59.00,151.00,0.00
SEMILLAS DE CEREALES Y DERIVADOS,"Centeno, pan integral",CEREALS AND BY-PRODUCTS,Re oe bread,,1.00,937.00,223.50,43.20,1.80,1.90,0.44,0.93,1.24,0.00,7.30,44.30,0.53,1.50,6.50,6.25,68.00,178.00,401.14,596.00,208.00,54.00,0.29,1.48,1.31,0.02,*,0.00,0.00,*,0.00,0.33,0.31,3.09,0.00,0.13,0.00,59.00,134.00,0.00
SEMILLAS DE CEREALES Y DERIVADOS,"Centeno, pan ligero con comino",CEREALS AND BY-PRODUCTS,"Rye, light bread, it cmin ee",,1.00,1004.00,240.10,38.50,2.30,1.70,*,*,*,*,8.50,47.70,*,1.30,*,*,*,*,636.43,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,"Centeno, pan negro",CEREALS AND BY-PRODUCTS,Re bron brea,,1.00,1134.00,271.00,30.50,2.40,2.20,*,*,*,*,6.40,56.40,*,2.10,4.20,3.60,*,*,8.82,*,*,*,0.23,1.61,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,"Maíz, aceite",CEREALS AND BY-PRODUCTS,"Corn, oil",ea ma L ma,1.00,3689.00,884.00,0.00,0.00,100.00,8.30,58.54,29.11,0.00,0.00,0.00,0.00,*,0.00,*,70.60,0.40,2.50,3.70,10.60,31.10,0.60,6.20,*,*,*,0.00,0.00,*,*,0.69,1.33,0.00,0.24,0.00,0.00,0.00,0.00,0.00
SEMILLAS DE CEREALES Y DERIVADOS,Maí amario rano,CEREALS AND BY-PRODUCTS,Corn eo rain,ea ma L,0.92,1436.00,343.00,13.80,1.20,4.81,0.67,1.25,2.16,0.00,8.30,69.55,0.84,2.34,12.80,12.50,8.00,235.00,2.55,35.00,287.00,127.00,0.22,2.24,0.49,0.02,*,214.00,11.00,*,0.15,0.34,0.08,1.64,0.00,0.62,0.00,0.00,19.00,0.00
SEMILLAS DE CEREALES Y DERIVADOS,Mi amario tortilla,CEREALS AND BY-PRODUCTS,"Corn, tortilla eo corn",,1.00,1015.25,239.06,42.20,0.83,3.02,0.20,0.50,0.90,0.00,5.50,47.47,*,0.98,5.50,4.90,66.66,155.65,1.40,0.00,151.78,61.82,0.36,1.53,*,*,*,*,20.00,*,*,0.12,0.05,1.02,*,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,"Maíz, atole",CEREALS AND BY-PRODUCTS,"Corn, plain gruel",,1.00,1519.00,363.00,9.80,1.30,2.25,*,*,*,*,4.20,80.80,*,0.45,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,Maí atoe ime preparado,CEREALS AND BY-PRODUCTS,"Corn, plain gruel",,1.00,87.00,21.00,94.70,0.10,0.06,*,*,*,*,0.43,4.56,*,0.15,*,*,14.00,*,*,*,*,*,*,*,*,*,*,*,*,*,0.00,0.02,0.00,0.13,0.00,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,"Maíz, atole con soya",CEREALS AND BY-PRODUCTS,"Corn, soybean gruel",,1.00,1552.00,371.00,6.05,0.60,0.60,*,*,*,*,10.35,81.35,*,0.85,*,*,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,"Maíz, azul tortilla",CEREALS AND BY-PRODUCTS,"Corn, tortilla blue corn",,1.00,1272.00,302.00,28.20,0.90,2.93,*,*,*,*,6.53,56.42,*,0.89,4.70,4.20,86.34,163.47,1.87,13.08,209.13,67.05,0.44,2.15,*,*,*,*,*,*,*,0.13,0.08,2.50,*,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,"Maíz, bebida en oo con cacao",CEREALS AND BY-PRODUCTS,"Corn, cocoa beerae oer",,,1748.21,418.23,3.10,0.95,3.99,*,*,*,*,6.24,83.00,*,2.72,*,*,37.25,143.80,32.44,2.66,272.58,133.55,0.00,16.46,*,*,*,*,*,*,*,*,*,1.25,*,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,"Maiz, blanco",CEREALS AND BY-PRODUCTS,Corn ite,ea ma,0.92,1509.00,360.00,11.00,1.34,4.64,0.67,1.25,2.16,0.00,8.56,73.69,*,1.81,9.71,8.56,8.25,246.75,2.10,35.00,287.00,127.00,0.24,2.21,0.42,0.01,*,0.00,0.00,1.30,0.03,0.37,0.09,1.92,1.60,0.62,0.00,26.00,*,0.00
SEMILLAS DE CEREALES Y DERIVADOS,"Maíz, blanco, tortilla",CEREALS AND BY-PRODUCTS,"Corn, tortilla ite corn",,1.00,853.00,204.00,47.80,0.80,1.00,0.10,0.40,0.80,0.00,5.40,44.90,*,*,4.40,4.10,124.00,123.00,0.20,*,*,*,0.33,2.44,*,*,*,*,2.00,*,*,0.10,0.04,1.02,*,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,Maiz Cacahuatzintle,CEREALS AND BY-PRODUCTS,Corn Cacahuatzintle,ea ma,0.92,1492.00,356.00,9.40,1.50,4.70,*,*,*,*,11.70,70.80,*,1.90,*,*,*,336.00,2.19,*,*,*,*,*,*,*,*,*,*,*,0.00,0.31,0.24,3.13,*,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,"Maiz, hojuelas cereal para desayuno",CEREALS AND BY-PRODUCTS,Corn ae breakfast cereal,,1.00,1599.00,381.00,3.61,2.70,0.48,0.12,0.07,0.20,0.00,7.19,84.23,9.50,0.90,3.30,2.80,2.54,44.00,3.03,799.95,93.21,7.19,0.10,0.15,0.15,0.01,*,1558.81,490.00,0.00,0.08,1.34,1.52,17.90,63.92,1.79,5.40,323.00,583.00,3.60
SEMILLAS DE CEREALES Y DERIVADOS,Maí Inao cereal para desayuno,CEREALS AND BY-PRODUCTS,"Corn, puffed, breakfast cereal",,1.00,1590.00,380.00,2.90,2.00,0.30,0.40,0.20,0.50,0.00,4.40,89.80,32.10,0.60,2.30,1.90,11.00,52.00,5.60,387.00,148.00,25.00,0.25,0.31,0.17,0.01,*,0.00,439.00,*,0.05,1.17,1.33,15.60,42.41,1.60,4.70,294.00,519.00,4.00
SEMILLAS DE CEREALES Y DERIVADOS,"Maiz, hojuelas, cereal para desayuno sabor fresa",CEREALS AND BY-PRODUCTS,Corn ae breaat cerea traberrie aore,,1.00,1584.00,379.00,3.20,1.90,0.25,*,*,*,*,5.05,89.05,*,0.55,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,"Maiz, hojuelas, cereal para desayuno con chocolate",CEREALS AND BY-PRODUCTS,"Corn, breakfast cereal it cocoate",,1.00,1618.00,387.00,2.15,1.90,0.40,*,*,*,*,6.30,88.20,*,1.05,*,*,5.00,55.00,3.00,739.00,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,"Maíz, cereal para desayuno hojuelas con chocolate",CEREALS AND BY-PRODUCTS,"Corn, breakfast cerea it cocoate",,1.00,1952.74,467.16,3.50,2.01,15.06,*,0.60,0.20,*,7.19,72.23,29.67,0.01,*,*,7.00,77.00,15.00,515.00,179.00,36.00,*,0.80,*,*,*,1667.00,*,*,*,1.25,1.42,16.70,20.00,1.67,5.00,333.00,553.00,3.30
SEMILLAS DE CEREALES Y DERIVADOS,"Maiz, hojuelas, cereal para desayuno sabor fresa-chocolate",CEREALS AND BY-PRODUCTS,Corn breaat cerea traberrie an cocoate aore,,1.00,1900.00,454.00,2.40,1.40,15.10,*,*,*,*,5.50,74.20,*,1.40,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,"Maiz, hojuelas, cereal para desayuno con cacahuate",CEREALS AND BY-PRODUCTS,"Corn, breakfast cereal it eant",,1.00,*,*,*,*,*,*,*,*,*,*,*,*,*,2.60,2.50,3.00,52.00,2.50,633.00,130.00,19.00,0.16,0.40,0.20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,"Maíz, gluten ,",CEREALS AND BY-PRODUCTS,"Corn, gluten",,1.00,1284.00,307.00,8.20,1.70,6.10,*,*,*,*,61.20,21.90,*,0.90,55.20,54.60,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,"Maiz, grano, azúl",CEREALS AND BY-PRODUCTS,"Corn, grain, blue",ea ma L raa cnico norteo,0.92,1594.00,380.50,8.20,1.20,6.50,*,*,*,*,7.80,72.70,*,3.60,*,*,6.15,*,2.29,4.20,306.00,72.55,0.00,1.92,*,*,*,*,*,*,*,0.22,0.08,2.50,*,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,"Maiz, grano, rosa",CEREALS AND BY-PRODUCTS,"Corn, grain, pink",ea ma L raa cnico,0.92,1577.00,376.80,8.00,1.60,6.00,*,*,*,*,10.30,70.40,*,3.70,*,*,5.99,548.15,2.44,4.03,392.29,78.02,0.00,2.21,*,*,*,*,*,*,*,0.38,0.08,2.60,*,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,Mai arina amaria,CEREALS AND BY-PRODUCTS,Corn eo or,,1.00,1561.00,373.00,8.25,1.60,3.70,0.54,1.02,1.76,0.00,7.80,75.75,0.64,2.90,7.30,*,7.00,272.00,2.38,5.00,315.00,93.00,0.23,1.73,0.46,0.02,*,214.00,11.00,*,0.10,0.25,0.08,1.90,0.00,0.37,0.00,0.00,25.00,0.00
SEMILLAS DE CEREALES Y DERIVADOS,"Maiz, harina blanca",CEREALS AND BY-PRODUCTS,Corn ite or,,1.00,1532.00,366.00,9.70,1.65,3.90,0.54,1.02,1.76,0.00,8.85,72.80,0.64,3.10,7.30,*,7.00,272.00,2.38,5.00,315.00,93.00,*,1.73,*,*,*,3.00,0.00,0.30,0.30,0.25,0.08,1.90,0.00,0.37,0.00,0.00,25.00,0.00
SEMILLAS DE CEREALES Y DERIVADOS,"Maiz, harina eerminaa",CEREALS AND BY-PRODUCTS,Corn eerminate corn or,ea ma L raa cnico,1.00,1580.00,377.00,10.00,0.90,3.70,*,*,*,*,8.00,76.70,*,0.70,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,"Maiz, harina enriquecida",CEREALS AND BY-PRODUCTS,"Corn, enriched or",,1.00,1574.00,376.00,8.40,1.70,5.20,0.53,1.00,1.72,0.00,11.30,70.60,1.61,2.80,6.40,*,136.00,214.00,4.30,5.00,263.00,93.00,0.18,1.87,0.45,0.01,*,5.00,0.00,*,0.00,0.64,0.29,6.10,0.00,0.48,0.00,180.00,209.00,0.00
SEMILLAS DE CEREALES Y DERIVADOS,Mai arina nitamaiaa instantánea,CEREALS AND BY-PRODUCTS,Corn intant nitama rocee or,,1.00,1574.00,375.00,8.93,1.43,4.56,0.53,1.00,1.72,0.00,8.95,74.16,1.61,2.99,9.60,9.40,136.00,214.00,45.26,7.73,263.00,93.00,0.22,30.78,*,*,*,*,99.65,*,0.00,0.70,0.44,5.98,0.00,0.48,0.00,55.62,29.00,0.00
SEMILLAS DE CEREALES Y DERIVADOS,"Maiz, harina para atole",CEREALS AND BY-PRODUCTS,Corn mea or re,,1.00,1668.00,399.00,5.60,1.20,5.26,*,*,*,*,8.58,78.12,*,1.25,0.20,0.10,35.00,309.50,2.20,*,*,*,0.14,1.95,*,*,*,*,*,*,0.02,0.30,0.05,1.82,*,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,"Maiz, harina ara tamae",CEREALS AND BY-PRODUCTS,Corn or or tamae,,1.00,*,*,5.40,1.50,4.55,*,*,*,*,9.75,*,*,*,*,*,86.00,270.00,10.45,*,*,*,*,*,*,*,*,*,*,*,0.00,0.31,0.05,241.00,*,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,"Maiz, harina blanca para tortillas",CEREALS AND BY-PRODUCTS,Corn ite or tortilla,,1.00,1607.00,384.00,7.10,2.00,4.46,*,*,*,*,7.12,77.43,*,1.89,*,*,140.00,238.00,3.87,*,*,*,*,*,*,*,*,*,*,*,0.01,0.22,0.05,1.26,*,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,"Maiz, harina refinaa",CEREALS AND BY-PRODUCTS,Corn refine or,,1.00,1540.00,368.00,10.85,0.70,1.85,*,*,*,*,6.85,79.00,*,0.75,*,*,15.00,39.00,1.40,52.00,61.00,7.00,0.13,*,*,*,*,*,0.00,*,*,*,*,*,0.00,*,0.00,*,*,0.00
SEMILLAS DE CEREALES Y DERIVADOS,"Maiz, hojuelas, con cubierta sabor chocolate",CEREALS AND BY-PRODUCTS,"Corn, chocolate coate ae",,1.00,2118.00,499.30,1.40,1.70,22.90,*,*,*,*,3.40,70.00,*,0.60,*,*,45.26,*,5.00,206.53,182.69,40.71,*,2.77,*,*,*,94.80,,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,Mai maa amaria,CEREALS AND BY-PRODUCTS,Corn eo o,,1.00,790.78,189.00,62.20,*,2.20,0.20,0.60,1.20,0.00,4.40,38.50,*,*,3.30,3.10,88.00,*,1.70,*,*,*,0.45,1.93,*,*,*,*,6.00,*,0.00,0.22,0.11,1.10,0.00,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,Mai maa a,CEREALS AND BY-PRODUCTS,"Corn, blue dough",ea ma L raa cnico norteo,1.00,745.00,178.10,56.10,0.60,3.70,*,*,*,*,3.80,32.40,*,3.40,3.80,3.50,51.93,326.42,2.26,9.45,128.37,41.79,0.37,2.10,*,*,*,*,,*,*,*,*,1.20,*,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,Mai maa banca,CEREALS AND BY-PRODUCTS,Corn ite o,,1.00,644.34,154.00,62.20,*,1.90,0.20,0.50,1.00,0.00,3.50,31.80,*,*,3.30,2.90,70.00,*,1.60,*,*,*,0.22,2.86,*,*,*,*,0.00,*,*,0.13,0.04,0.60,0.00,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,Mai maa nitama,CEREALS AND BY-PRODUCTS,Corn nitama processed dough,,1.00,707.00,169.00,56.80,0.60,1.16,*,*,*,*,4.64,36.39,*,0.41,*,*,90.00,102.00,2.04,*,*,*,*,*,*,*,*,*,8.00,*,*,0.09,0.03,0.69,0.00,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,Mai maa ooe,CEREALS AND BY-PRODUCTS,"Corn, pozole dough",,1.00,573.00,137.00,65.40,0.40,1.14,*,*,*,*,3.86,29.20,*,0.00,*,*,59.00,81.00,5.32,*,*,*,*,*,*,*,*,*,*,*,*,0.06,0.04,0.48,*,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,Mai maa roa,CEREALS AND BY-PRODUCTS,"Corn, dough, pink",ea ma L raa cnico,1.00,694.00,165.90,59.37,0.50,2.70,*,*,*,*,4.70,30.70,*,1.70,*,*,50.89,318.98,1.69,9.78,171.75,39.65,0.00,1.14,*,*,*,*,*,*,*,0.03,0.03,1.20,*,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,Mai aomita con manteia,CEREALS AND BY-PRODUCTS,"Corn, popcorn it btter",,1.00,1678.00,401.00,4.57,4.58,8.40,*,*,*,*,9.81,71.62,*,1.02,*,*,*,*,*,1085.00,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,"Maiz, pozole",CEREALS AND BY-PRODUCTS,"Corn, pozole",,0.92,499.00,119.00,68.80,0.50,0.58,*,*,*,*,3.12,26.28,*,0.72,*,*,81.00,*,1.38,*,*,*,1.02,1.68,*,*,*,*,*,*,0.00,0.09,0.05,0.36,*,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,"Maiz, para pozole, cocido",CEREALS AND BY-PRODUCTS,"Corn, for pozole, cooked",ea ma L raa cnico,0.92,*,*,*,*,*,*,*,*,*,*,*,*,*,2.80,2.70,*,*,*,*,*,*,0.34,3.18,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,"Maiz, pepitilla",CEREALS AND BY-PRODUCTS,"Corn, Pepitilla",ea ma L,,1505.00,359.00,8.70,1.30,4.90,*,*,*,*,10.20,72.20,*,2.70,*,*,19.00,316.00,1.17,*,*,*,*,*,*,*,*,*,*,*,0.00,0.36,0.11,2.92,*,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,"Maiz, pinole",CEREALS AND BY-PRODUCTS,Corn fine ron,,1.00,1617.00,386.00,6.00,1.40,6.30,*,*,*,*,10.70,75.60,*,0.00,*,*,79.00,250.00,7.67,*,*,*,*,*,*,*,*,*,*,*,0.00,0.03,0.15,1.54,0.00,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,"Maíz, pinole con cacao, polvo para preparar bebida",CEREALS AND BY-PRODUCTS,Corn fine ron corn and cacao,ea ma L raa cnico,,1756.58,420.23,3.10,0.94,4.77,1.62,1.55,1.60,*,5.37,84.59,7.28,1.23,10.6,*,84.29,168.22,1.72,15.36,257.86,69.55,0.00,0.99,*,*,*,*,*,*,*,*,*,1.34,*,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,"Maíz,polvo para preparar bebida a bae e maí cacao totao tacaate co coa maí",CEREALS AND BY-PRODUCTS,Corn fine ron corn an cacao tacaate cacao an corn,,,1769.67,423.34,2.40,0.97,4.41,1.51,1.49,1.41,*,5.46,85.24,6.49,1.52,9.30,*,87.49,153.44,1.70,27.72,272.79,74.61,0.00,0.97,*,*,*,*,*,*,*,*,*,1.27,*,*,*,*,*,*
